TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OFF TOV,2ND CHANCE,FB,PAINT
Philadelphia 76ers,73,43,30,39.8,31.8,31.5,75.5,6.7,4.7,13.6,9.5,11.5,39.9
Dallas Mavericks,75,43,32,33.1,27,27,74.1,3.6,3.9,9.7,9.1,11.1,33.1
Atlanta Hawks,67,20,47,33.2,29.8,22.8,71,5.4,3.5,13.6,10.2,10.3,36.8
Indiana Pacers,73,45,28,32.8,23.4,25.8,71.9,5,4.5,10.2,8.9,9.2,32.3
New York Knicks,66,21,45,33.9,28.1,27.1,74.4,4.7,3.9,12.1,8.8,9.2,30.7
Golden State Warriors,65,15,50,29.6,44.4,21.6,72.3,4.9,3.1,11.1,8.2,9.2,29.8
Los Angeles Lakers,71,52,19,25.4,24.6,25.3,74.1,4,5.5,9.2,6.2,8.7,24
Cleveland Cavaliers,65,19,46,28.2,25.7,25.5,73.8,4.1,2.5,11.7,7.4,8.6,31
Boston Celtics,72,48,24,30.3,23.5,24,73.2,4.7,3.9,9.4,8.2,8.2,27.1
Minnesota Timberwolves,64,19,45,30.7,32.5,23.4,73.2,5,4.1,11.1,8.4,8.1,32.1
Miami Heat,73,44,29,34.2,30.1,28.5,75.7,5.6,4.1,12.5,8.7,8,30.8
Memphis Grizzlies,73,34,39,26.1,24.7,18.4,73.1,4.2,3.4,9.7,7.5,7.6,24.8
Portland Trail Blazers,74,35,39,24.5,26.7,16.9,71.1,3.7,2.2,7.5,7.8,7.5,23.8
LA Clippers,72,49,23,26.3,30.2,22.4,74.1,4.6,2.8,9,6.7,7.3,24.3
Phoenix Suns,73,34,39,27.8,27.5,20.4,73.2,4.4,2.4,9.8,7.3,7.3,28.9
Brooklyn Nets,72,35,37,26.6,30.8,18.3,73.6,3.5,1.8,9.5,7.3,7.2,25.2
Chicago Bulls,65,22,43,27.2,23.1,19.6,72,5.1,3.2,10.3,7.3,7.2,28.5
Charlotte Hornets,65,23,42,28.1,32.9,20.8,70.8,4.1,2.7,9.8,7.4,6.9,29.2
New Orleans Pelicans,72,30,42,20.8,30.4,17.7,73.3,2.8,3,8.4,5.8,6.8,22.1
San Antonio Spurs,71,32,39,24.4,24,20.9,75.4,3.2,3,7.8,6.8,6.6,24.4
Utah Jazz,72,44,28,25.2,29.5,17.9,74.4,3.1,1.6,9,6.3,6.6,24.9
Orlando Magic,73,33,40,26,30.9,16.9,74.8,4.5,2.8,7.6,6.1,6.4,25.1
Sacramento Kings,72,31,41,24.4,38.4,19.3,73.6,3.7,2.4,8.3,6,6.2,23.6
Toronto Raptors,72,53,19,22.4,36.8,19.6,72.5,3.7,3.3,7.8,6.3,5.8,19.2
Detroit Pistons,66,20,46,22.9,26.2,16.1,71.5,3.4,2.5,8.1,6.3,5.8,24.4
Houston Rockets,72,44,28,18.6,27,13.4,71.4,3.4,2.3,6.9,5.4,5.8,19.4
Washington Wizards,72,25,47,21.7,25.1,17.8,70.7,3.2,1.9,7.3,6.6,5.6,23.5
Milwaukee Bucks,73,56,17,20.2,30.5,23.6,77.2,2.9,1.8,7.3,4.8,5.6,16
Oklahoma City Thunder,72,44,28,23.5,22.4,18.6,72.7,3.4,3.2,7.8,6.3,5.3,23.9
Denver Nuggets,73,46,27,20.1,32.4,14.8,72,2.8,2.9,7.1,5.1,5.2,19.9
