Cash Lines,Date
222.63,12/22/2020
285.03,12/23/2020
200.82,12/25/2020
323.74,12/26/2020
261.23,12/27/2020
320.18,12/28/2020
264.77,12/29/2020
273.11,12/30/2020
228.81,12/31/2020
239.39,01/01/2021
238.13,01/02/2021
291.40,01/03/2021
262.92,01/04/2021
266.33,01/05/2021
269.48,01/06/2021
296.70,01/07/2021
293.36,01/08/2021
303.24,01/09/2021
239.44,01/10/2021
247.75,01/11/2021
331.90,01/12/2021
330.99,01/13/2021
298.56,01/14/2021
269.54,01/15/2021
259.29,01/16/2021
268.39,01/17/2021
274.79,01/18/2021
235.03,01/19/2021
305.31,01/20/2021
272.78,01/21/2021
265.48,01/22/2021
279.52,01/23/2021
276.75,01/24/2021
283.45,01/25/2021
255.17,01/26/2021
280.38,01/27/2021
239.28,01/28/2021
268.14,01/29/2021
271.77,01/30/2021
272.83,01/31/2021
249.59,02/01/2021
257.25,02/02/2021
285.08,02/03/2021
278.91,02/04/2021
301.39,02/05/2021
276.87,02/06/2021
230.71,02/07/2021
276.84,02/08/2021
273.92,02/09/2021
251.27,02/10/2021
257.19,02/11/2021
272.03,02/12/2021
258.44,02/13/2021
328.83,02/15/2021
284.80,02/16/2021
300.27,02/17/2021
264.87,02/18/2021
291.90,02/19/2021
249.21,02/20/2021
244.37,02/21/2021
252.42,02/22/2021
277.78,02/23/2021
266.82,02/24/2021
288.81,02/25/2021
293.00,02/26/2021
291.21,02/27/2021
268.50,02/28/2021
266.27,03/01/2021
259.50,03/02/2021
295.65,03/03/2021
264.13,03/04/2021
267.98,03/10/2021
278.72,03/11/2021
286.71,03/12/2021
259.43,03/13/2021
270.95,03/14/2021
279.47,03/15/2021
312.95,03/16/2021
290.25,03/17/2021
287.74,03/18/2021
300.42,03/19/2021
272.98,03/20/2021
245.34,03/21/2021
322.07,03/22/2021
259.56,03/23/2021
204.94,03/24/2021
317.49,03/25/2021
313.29,03/26/2021
327.21,03/27/2021
237.78,03/28/2021
351.66,03/29/2021
271.64,03/30/2021
267.83,03/31/2021
306.21,04/01/2021
314.09,04/02/2021
291.89,04/03/2021
278.69,04/04/2021
272.95,04/05/2021
262.72,04/06/2021
290.44,04/07/2021
310.72,04/08/2021
329.03,04/09/2021
293.63,04/10/2021
280.53,04/11/2021
280.27,04/12/2021
303.75,04/13/2021
291.02,04/14/2021
244.22,04/15/2021
318.86,04/16/2021
294.47,04/17/2021
293.34,04/18/2021
338.00,04/19/2021
254.57,04/20/2021
335.52,04/21/2021
263.69,04/22/2021
314.78,04/23/2021
299.29,04/24/2021
281.79,04/25/2021
240.38,04/26/2021
268.82,04/27/2021
254.32,04/28/2021
319.09,04/29/2021
254.41,04/30/2021
296.84,05/01/2021
273.57,05/02/2021
308.63,05/03/2021
340.73,05/04/2021
395.00,05/05/2021
297.59,05/06/2021
295.19,05/07/2021
292.68,05/08/2021
233.63,05/09/2021
307.68,05/10/2021
263.50,05/11/2021
319.25,05/12/2021
278.19,05/13/2021
323.64,05/14/2021
294.25,05/15/2021
292.50,05/16/2021
247.88,05/18/2021
151.38,05/19/2021
223.88,05/20/2021
278.00,05/22/2021
256.35,05/23/2021
208.42,05/24/2021
259.50,05/25/2021
257.08,05/26/2021
249.50,05/27/2021
278.42,05/28/2021
257.25,05/29/2021
239.25,05/30/2021
246.00,05/31/2021
254.00,06/01/2021
288.08,06/02/2021
245.38,06/03/2021
299.50,06/06/2021
244.75,06/07/2021
247.75,06/08/2021
220.38,06/10/2021
146.38,06/11/2021
224.75,06/12/2021
282.25,06/13/2021
253.63,06/14/2021
267.75,06/15/2021
283.50,06/16/2021
231.13,06/17/2021
214.25,06/19/2021
264.50,06/20/2021
143.94,06/26/2021
198.63,06/27/2021
234.44,06/28/2021
209.50,06/29/2021
287.75,07/01/2021
222.88,07/03/2021
227.38,07/06/2021
234.81,07/08/2021
227.75,07/11/2021
79.00,07/14/2021
195.63,07/17/2021
217.75,07/20/2021
